title=静止五分钟采集的第十二次数据
time=2022-10-31 21:30
freq=100
note=相比第十一次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
24152,0.00,0.07,0.04,1018,8,13508,-40,10,-29,29,2
24153,0.00,0.07,0.04,898,-50,13460,-40,10,-29,29,2
24154,0.00,0.07,0.04,898,2,13462,-39,10,-29,29,2
24155,0.00,0.07,0.04,914,50,13464,-41,10,-31,29,2
24156,0.00,0.07,0.04,912,-2,13518,-40,10,-29,29,2
24157,0.00,0.07,0.04,906,34,13450,-39,10,-29,29,2
24158,0.00,0.07,0.04,888,-22,13454,-38,10,-29,29,2
24159,0.00,0.07,0.04,902,44,13448,-39,10,-30,29,2
24160,0.00,0.07,0.04,932,-40,13374,-38,10,-28,29,2
24161,0.00,0.07,0.04,908,-2,13468,-40,10,-30,29,2
24162,0.00,0.07,0.04,880,4,13434,-40,10,-30,29,2
24163,0.00,0.07,0.04,930,-8,13466,-40,11,-30,29,2
24164,0.00,0.07,0.04,964,-10,13476,-38,10,-29,29,2
24165,0.00,0.07,0.04,862,44,13512,-40,9,-31,29,2
24166,0.00,0.07,0.04,888,0,13418,-39,10,-30,29,2
24167,0.00,0.07,0.04,892,-44,13490,-40,9,-30,29,2
24168,0.00,0.07,0.04,970,26,13504,-40,10,-29,29,2
24169,0.00,0.07,0.04,902,2,13414,-40,11,-29,29,2
24170,0.00,0.07,0.04,950,26,13402,-39,10,-31,29,2
24171,0.00,0.07,0.04,922,74,13514,-39,10,-29,29,2
24172,0.00,0.07,0.04,908,-6,13534,-40,9,-29,29,2
24173,0.00,0.07,0.04,956,8,13508,-39,10,-30,29,2
24174,0.00,0.07,0.04,912,36,13530,-39,10,-29,29,2
24175,0.00,0.07,0.04,920,26,13534,-39,12,-30,29,2
24176,0.00,0.07,0.04,890,6,13442,-40,10,-31,29,2
24177,0.00,0.07,0.04,896,40,13416,-39,11,-31,29,2
24178,0.00,0.07,0.04,868,22,13468,-40,11,-30,29,2
24179,0.00,0.07,0.04,924,98,13546,-39,8,-31,29,2
24180,0.00,0.07,0.04,898,38,13468,-40,9,-30,29,2
24181,0.00,0.07,0.04,964,-10,13462,-38,10,-30,29,2
24182,0.00,0.07,0.04,918,42,13394,-39,10,-30,29,2
24183,0.00,0.07,0.04,926,10,13356,-40,11,-29,29,2
24184,0.00,0.07,0.04,926,-10,13482,-40,10,-32,29,2
24185,0.00,0.07,0.04,922,4,13478,-39,10,-30,29,2
24186,0.00,0.07,0.04,924,32,13568,-39,10,-30,29,2
24187,0.00,0.07,0.04,900,64,13504,-40,9,-30,29,2
24188,0.00,0.07,0.04,934,26,13498,-39,9,-30,29,2
24189,0.00,0.07,0.04,906,62,13432,-40,10,-30,29,2
24190,0.00,0.07,0.04,904,38,13466,-39,9,-31,29,2
24191,0.00,0.07,0.04,912,-38,13436,-39,10,-30,29,2
24192,0.00,0.07,0.04,870,26,13530,-38,10,-31,29,2
24193,0.00,0.07,0.04,882,-38,13402,-39,9,-30,29,3
24194,0.01,0.07,0.04,980,20,13430,-39,10,-30,29,3
24195,0.00,0.07,0.04,930,42,13400,-39,9,-30,29,3
24196,0.00,0.07,0.04,898,16,13480,-39,10,-30,29,3
24197,0.00,0.07,0.04,936,8,13492,-39,9,-28,29,3
24198,0.00,0.07,0.04,936,-32,13504,-39,10,-30,29,3
24199,0.00,0.07,0.04,878,-30,13414,-39,11,-31,29,3
24200,0.00,0.07,0.04,834,-34,13430,-39,10,-29,29,3
24201,0.00,0.07,0.04,936,70,13456,-39,9,-30,29,3
24202,0.00,0.07,0.04,926,10,13488,-38,10,-30,29,3
